序号,中文名,备选中文名,拉丁名,英文名,目,科,ebird,birdreport
1097,褐头雀鹛,,Fulvetta manipurensis,Manipur Fulvetta,雀形目,鸦雀科,,
1098,棕头雀鹛,,Fulvetta ruficapilla,Spectacled Fulvetta,雀形目,鸦雀科,,
1099,中华雀鹛,,Fulvetta striaticollis,Chinese Fulvetta,雀形目,鸦雀科,,
1100,白眉雀鹛,,Fulvetta vinipectus,White-browed Fulvetta,雀形目,鸦雀科,,
1101,金胸雀鹛,,Lioparus chrysotis,Golden-breasted Fulvetta,雀形目,鸦雀科,,
1102,宝兴鹛雀,,Moupinia poecilotis,Rufous-tailed Babbler,雀形目,鸦雀科,,
1103,火尾绿鹛,,Myzornis pyrrhoura,Fire-tailed Myzornis,雀形目,鸦雀科,,
1104,短尾鸦雀,,Neosuthora davidiana,Short-tailed Parrotbill,雀形目,鸦雀科,,
1105,斑胸鸦雀,,Paradoxornis flavirostris,Black-breasted Parrotbill,雀形目,鸦雀科,,
1106,点胸鸦雀,,Paradoxornis guttaticollis,Spot-breasted Parrotbill,雀形目,鸦雀科,,
1107,震旦鸦雀,,Paradoxornis heudei,Reed Parrotbill,雀形目,鸦雀科,,
1108,红头鸦雀,,Psittiparus bakeri,Rufous-headed Parrotbill,雀形目,鸦雀科,,
1109,灰头鸦雀,,Psittiparus gularis,Grey-headed Parrotbill,雀形目,鸦雀科,,
1110,白胸鸦雀,,Psittiparus ruficeps,White-breasted Parrotbill,雀形目,鸦雀科,,
1111,西域山鹛,,Rhopophilus albosuperciliaris,Tarim Hill-warbler,雀形目,鸦雀科,,
1112,山鹛,,Rhopophilus pekinensis,Beijing Hill-warbler,雀形目,鸦雀科,,
1113,灰喉鸦雀,,Sinosuthora alphonsiana,Ashy-throated Parrotbill,雀形目,鸦雀科,,
1114,褐翅鸦雀,,Sinosuthora brunnea,Brown-winged Parrotbill,雀形目,鸦雀科,,
1115,白眶鸦雀,,Sinosuthora conspicillata,Spectacled Parrotbill,雀形目,鸦雀科,,
1116,灰冠鸦雀,,Sinosuthora przewalskii,Rusty-throated Parrotbill,雀形目,鸦雀科,,
1117,棕头鸦雀,,Sinosuthora webbiana,Vinous-throated Parrotbill,雀形目,鸦雀科,棕头鸦雀,
1118,暗色鸦雀,,Sinosuthora zappeyi,Grey-hooded Parrotbill,雀形目,鸦雀科,,
1119,黄额鸦雀,,Suthora fulvifrons,Fulvous Parrotbill,雀形目,鸦雀科,,
1120,黑喉鸦雀,,Suthora nipalensis,Black-throated Parrotbill,雀形目,鸦雀科,,
1121,金色鸦雀,,Suthora verreauxi,Golden Parrotbill,雀形目,鸦雀科,,
1122,紫宽嘴鸫,,Cochoa purpurea,Purple Cochoa,雀形目,鸫科,,
1123,绿宽嘴鸫,,Cochoa viridis,Green Cochoa,雀形目,鸫科,,
1124,橙头地鸫,,Geokichla citrina,Orange-headed Thrush,雀形目,鸫科,,
1125,白眉地鸫,,Geokichla sibirica,Siberian Thrush,雀形目,鸫科,,
1126,蓝大翅鸲,,Grandala coelicolor,Grandala,雀形目,鸫科,,
1127,白颈鸫,,Turdus albocinctus,White-collared Blackbird,雀形目,鸫科,,
1128,黑喉鸫,,Turdus atrogularis,Black-throated Thrush,雀形目,鸫科,,
1129,灰翅鸫,,Turdus boulboul,Grey-winged Blackbird,雀形目,鸫科,,
1130,乌灰鸫,,Turdus cardis,Japanese Thrush,雀形目,鸫科,,
1131,赤胸鸫,,Turdus chrysolaus,Brown-headed Thrush,雀形目,鸫科,,
1132,黑胸鸫,,Turdus dissimilis,Black-breasted Thrush,雀形目,鸫科,,
1133,斑鸫,,Turdus eunomus,Dusky Thrush,雀形目,鸫科,,
1134,褐头鸫,,Turdus feae,Grey-sided Thrush,雀形目,鸫科,,
1135,灰背鸫,,Turdus hortulorum,Grey-backed Thrush,雀形目,鸫科,,
1136,白眉歌鸫,,Turdus iliacus,Redwing,雀形目,鸫科,,
1137,棕背黑头鸫,,Turdus kessleri,White-backed Thrush,雀形目,鸫科,,
1138,乌鸫,,Turdus mandarinus,Chinese Blackbird,雀形目,鸫科,,
1139,藏乌鸫,,Turdus maximus,Tibetan Blackbird,雀形目,鸫科,,
1140,欧乌鸫,,Turdus merula,Common Blackbird,雀形目,鸫科,,
1141,宝兴歌鸫,,Turdus mupinensis,Chinese Thrush,雀形目,鸫科,,
1142,红尾斑鸫,,Turdus naumanni,Naumann's Thrush,雀形目,鸫科,,
1143,白头鸫,,Turdus niveiceps,Taiwan Thrush,雀形目,鸫科,,
1144,白眉鸫,,Turdus obscurus,Eyebrowed Thrush,雀形目,鸫科,,
1145,白腹鸫,,Turdus pallidus,Pale Thrush,雀形目,鸫科,,
1146,欧歌鸫,,Turdus philomelos,Song Thrush,雀形目,鸫科,,
1147,田鸫,,Turdus pilaris,Fieldfare,雀形目,鸫科,,
1148,灰头鸫,,Turdus rubrocanus,Chestnut Thrush,雀形目,鸫科,,
1149,赤颈鸫,,Turdus ruficollis,Red-throated Thrush,雀形目,鸫科,,
1150,蒂氏鸫,,Turdus unicolor,Tickell's Thrush,雀形目,鸫科,,
1151,槲鸫,,Turdus viscivorus,Mistle Thrush,雀形目,鸫科,,
1152,虎斑地鸫,怀氏虎鸫,Zoothera aurea,White's Thrush,雀形目,鸫科,虎斑地鸫 (怀氏虎鸫),
1153,小虎斑地鸫,,Zoothera dauma,Scaly Thrush,雀形目,鸫科,,
1154,长尾地鸫,,Zoothera dixoni,Long-tailed Thrush,雀形目,鸫科,,
1155,四川淡背地鸫,,Zoothera griseiceps,Sichuan Thrush,雀形目,鸫科,,
1156,长嘴地鸫,,Zoothera marginata,Dark-sided Thrush,雀形目,鸫科,,
1157,淡背地鸫,,Zoothera mollissima,Alpine Thrush,雀形目,鸫科,,
1158,大长嘴地鸫,,Zoothera monticola,Long-billed Thrush,雀形目,鸫科,,
1159,喜山淡背地鸫,,Zoothera salimalii,Himalayan Thrush,雀形目,鸫科,,
1160,黄胸鹀,,Emberiza aureola,Yellow-breasted Bunting,雀形目,鹀科,,
1161,褐头鹀,,Emberiza bruniceps,Red-headed Bunting,雀形目,鹀科,,
1162,灰颈鹀,,Emberiza buchanani,Grey-necked Bunting,雀形目,鹀科,,
1163,黍鹀,,Emberiza calandra,Corn Bunting,雀形目,鹀科,,
1164,黄眉鹀,,Emberiza chrysophrys,Yellow-browed Bunting,雀形目,鹀科,,
1165,淡灰眉岩鹀,,Emberiza cia,Rock Bunting,雀形目,鹀科,,
1166,三道眉草鹀,,Emberiza cioides,Meadow Bunting,雀形目,鹀科,,
1167,黄鹀,,Emberiza citrinella,Yellowhammer,雀形目,鹀科,,
1168,黄喉鹀,,Emberiza elegans,Yellow-throated Bunting,雀形目,鹀科,,
1169,栗耳鹀,,Emberiza fucata,Chestnut-eared Bunting,雀形目,鹀科,,
1170,灰眉岩鹀,,Emberiza godlewskii,Godlewski's Bunting,雀形目,鹀科,,
1171,圃鹀,,Emberiza hortulana,Ortolan Bunting,雀形目,鹀科,,
1172,栗斑腹鹀,,Emberiza jankowskii,Jankowski's Bunting,雀形目,鹀科,,
1173,藏鹀,,Emberiza koslowi,Tibetan Bunting,雀形目,鹀科,,
1174,凤头鹀,,Emberiza lathami,Crested Bunting,雀形目,鹀科,,
1175,白头鹀,,Emberiza leucocephalos,Pine Bunting,雀形目,鹀科,,
1176,黑头鹀,,Emberiza melanocephala,Black-headed Bunting,雀形目,鹀科,,
1177,苇鹀,,Emberiza pallasi,Pallas's Reed Bunting,雀形目,鹀科,,
1178,日本灰头鹀,,Emberiza personata,Masked Bunting,雀形目,鹀科,,
1179,小鹀,,Emberiza pusilla,Little Bunting,雀形目,鹀科,,
1180,田鹀,,Emberiza rustica,Rustic Bunting,雀形目,鹀科,,
1181,栗鹀,,Emberiza rutila,Chestnut Bunting,雀形目,鹀科,,
1182,芦鹀,,Emberiza schoeniclus,Common Reed Bunting,雀形目,鹀科,,
1183,蓝鹀,,Emberiza siemsseni,Slaty Bunting,雀形目,鹀科,,
1184,灰头鹀,,Emberiza spodocephala,Black-faced Bunting,雀形目,鹀科,,
1185,白顶鹀,,Emberiza stewarti,White-capped Bunting,雀形目,鹀科,,
1186,硫黄鹀,硫磺鹀,Emberiza sulphurata,Yellow Bunting,雀形目,鹀科,,
1187,白眉鹀,,Emberiza tristrami,Tristram's Bunting,雀形目,鹀科,,
1188,灰鹀,,Emberiza variabilis,Grey Bunting,雀形目,鹀科,,
1189,红颈苇鹀,,Emberiza yessoensis,Japanese Reed Bunting,雀形目,鹀科,,
1190,西南灰眉岩鹀,,Emberiza yunnanensis,Southern Rock Bunting,雀形目,鹀科,,
1191,纵纹绿鹎,,Alcurus striatus,Striated Bulbul,雀形目,鹎科,,
1192,黄腹冠鹎,,Alophoixus flaveolus,White-throated Bulbul,雀形目,鹎科,,
1193,白喉冠鹎,,Alophoixus pallidus,Puff-throated Bulbul,雀形目,鹎科,,
1194,黑头鹎,,Brachypodius atriceps,Black-headed Bulbul,雀形目,鹎科,,
1195,栗背短脚鹎,,Hemixos castanonotus,Chestnut Bulbul,雀形目,鹎科,,
1196,灰短脚鹎,,Hemixos flavala,Ashy Bulbul,雀形目,鹎科,,
1197,栗耳短脚鹎,,Hypsipetes amaurotis,Brown-eared Bulbul,雀形目,鹎科,,
1198,黑短脚鹎,,Hypsipetes leucocephalus,Black Bulbul,雀形目,鹎科,,
1199,灰眼短脚鹎,,Iole propinqua,Grey-eyed Bulbul,雀形目,鹎科,,
1200,绿翅短脚鹎,,Ixos mcclellandii,Mountain Bulbul,雀形目,鹎科,,
1201,白喉红臀鹎,,Pycnonotus aurigaster,Sooty-headed Bulbul,雀形目,鹎科,,
1202,黑喉红臀鹎,,Pycnonotus cafer,Red-vented Bulbul,雀形目,鹎科,,
1203,条耳鹎,,Pycnonotus conradi,Streak-eared Bulbul,雀形目,鹎科,,
1204,纹喉鹎,,Pycnonotus finlaysoni,Stripe-throated Bulbul,雀形目,鹎科,,
1205,黄绿鹎,,Pycnonotus flavescens,Flavescent Bulbul,雀形目,鹎科,,
1206,白眉黄臀鹎,,Pycnonotus goiavier,Yellow-vented Bulbul,雀形目,鹎科,,
1207,红耳鹎,,Pycnonotus jocosus,Red-whiskered Bulbul,雀形目,鹎科,,
1208,白颊鹎,,Pycnonotus leucogenys,Himalayan Bulbul,雀形目,鹎科,,
1209,白头鹎,,Pycnonotus sinensis,Light-vented Bulbul,雀形目,鹎科,,
1210,台湾鹎,,Pycnonotus taivanus,Styan's Bulbul,雀形目,鹎科,,
1211,黄臀鹎,,Pycnonotus xanthorrhous,Brown-breasted Bulbul,雀形目,鹎科,,
1212,黑冠黄鹎,,Rubigula flaviventris,Black-capped Bulbul,雀形目,鹎科,,
1213,凤头雀嘴鹎,,Spizixos canifrons,Crested Finchbill,雀形目,鹎科,,
1214,领雀嘴鹎,,Spizixos semitorques,Collared Finchbill,雀形目,鹎科,,
1215,白喉姬鹟,,Anthipes monileger,White-gorgeted Flycatcher,雀形目,鹟科,,
1216,喜山蓝短翅鸫,,Brachypteryx cruralis,Himalayan Shortwing,雀形目,鹟科,,
1217,台湾蓝短翅鸫,,Brachypteryx goodfellowi,White-browed Shortwing,雀形目,鹟科,,
1218,锈腹短翅鸫,,Brachypteryx hyperythra,Rusty-bellied Shortwing,雀形目,鹟科,,
1219,白喉短翅鸫,,Brachypteryx leucophris,Lesser Shortwing,雀形目,鹟科,,
1220,蓝短翅鸫,,Brachypteryx sinensis,Chinese Shortwing,雀形目,鹟科,,
1221,红喉歌鸲,,Calliope calliope,Siberian Rubythroat,雀形目,鹟科,,
1222,黑喉歌鸲,,Calliope obscura,Blackthroat,雀形目,鹟科,,
1223,金胸歌鸲,,Calliope pectardens,Firethroat,雀形目,鹟科,,
1224,黑胸歌鸲,,Calliope pectoralis,Himalayan Rubythroat,雀形目,鹟科,,
1225,白须黑胸歌鸲,,Calliope tschebaiewi,Chinese Rubythroat,雀形目,鹟科,,
1226,棕薮鸲,,Cercotrichas galactotes,Rufous-tailed Scrub Robin,雀形目,鹟科,,
1227,蓝额地鸲,,Cinclidium frontale,Blue-fronted Robin,雀形目,鹟科,,
1228,白腰鹊鸲,,Copsychus malabaricus,White-rumped Shama,雀形目,鹟科,,
1229,鹊鸲,,Copsychus saularis,Oriental Magpie-Robin,雀形目,鹟科,,
1230,白腹暗蓝鹟,琉璃蓝鹟,Cyanoptila cumatilis,Zappey's Flycatcher,雀形目,鹟科,,
1231,白腹蓝鹟,,Cyanoptila cyanomelana,Blue-and-white Flycatcher,雀形目,鹟科,,
1232,白喉林鹟,,Cyornis brunneatus,Brown-chested Jungle Flycatcher,雀形目,鹟科,,
1233,白尾蓝仙鹟,,Cyornis concretus,White-tailed Flycatcher,雀形目,鹟科,,
1234,中华仙鹟,,Cyornis glaucicomans,Chinese Blue Flycatcher,雀形目,鹟科,,
1235,海南蓝仙鹟,,Cyornis hainanus,Hainan Blue Flycatcher,雀形目,鹟科,,
1236,灰颊仙鹟,,Cyornis poliogenys,Pale-chinned Blue Flycatcher,雀形目,鹟科,,
1237,蓝喉仙鹟,,Cyornis rubeculoides,Blue-throated Blue Flycatcher,雀形目,鹟科,,
1238,纯蓝仙鹟,,Cyornis unicolor,Pale Blue Flycatcher,雀形目,鹟科,,
1239,山蓝仙鹟,,Cyornis whitei,Hill Blue Flycatcher,雀形目,鹟科,,
1240,黑背燕尾,,Enicurus immaculatus,Black-backed Forktail,雀形目,鹟科,,
1241,白额燕尾,白冠燕尾,Enicurus leschenaulti,White-crowned Forktail,雀形目,鹟科,,
1242,斑背燕尾,,Enicurus maculatus,Spotted Forktail,雀形目,鹟科,,
1243,灰背燕尾,,Enicurus schistaceus,Slaty-backed Forktail,雀形目,鹟科,,
1244,小燕尾,,Enicurus scouleri,Little Forktail,雀形目,鹟科,,
1245,欧亚鸲,,Erithacus rubecula,European Robin,雀形目,鹟科,,
1246,铜蓝鹟,,Eumyias thalassinus,Verditer Flycatcher,雀形目,鹟科,,
1247,红喉姬鹟,,Ficedula albicilla,Taiga Flycatcher,雀形目,鹟科,,
1248,绿背姬鹟,,Ficedula elisae,Green-backed Flycatcher,雀形目,鹟科,,
1249,锈胸蓝姬鹟,,Ficedula erithacus,Slaty-backed Flycatcher,雀形目,鹟科,,
1250,侏蓝姬鹟,侏蓝仙鹟,Ficedula hodgsoni,Pygmy Flycatcher,雀形目,鹟科,,
1251,棕胸蓝姬鹟,,Ficedula hyperythra,Snowy-browed Flycatcher,雀形目,鹟科,,
1252,斑姬鹟,,Ficedula hypoleuca,European Pied Flycatcher,雀形目,鹟科,,
1253,鸲姬鹟,,Ficedula mugimaki,Mugimaki Flycatcher,雀形目,鹟科,,
1254,黄眉姬鹟,,Ficedula narcissina,Narcissus Flycatcher,雀形目,鹟科,,
1255,琉球姬鹟,,Ficedula owstoni,Ryukyu Flycatcher,雀形目,鹟科,,
1256,红胸姬鹟,,Ficedula parva,Red-breasted Flycatcher,雀形目,鹟科,,
1257,栗尾姬鹟,,Ficedula ruficauda,Rusty-tailed Flycatcher,雀形目,鹟科,,
1258,玉头姬鹟,,Ficedula sapphira,Sapphire Flycatcher,雀形目,鹟科,,
1259,橙胸姬鹟,,Ficedula strophiata,Rufous-gorgeted Flycatcher,雀形目,鹟科,,
1260,白眉蓝姬鹟,,Ficedula superciliaris,Ultramarine Flycatcher,雀形目,鹟科,,
1261,灰蓝姬鹟,,Ficedula tricolor,Slaty-blue Flycatcher,雀形目,鹟科,,
1262,小斑姬鹟,,Ficedula westermanni,Little Pied Flycatcher,雀形目,鹟科,,
1263,白眉姬鹟,,Ficedula zanthopygia,Yellow-rumped Flycatcher,雀形目,鹟科,,
1264,栗背短翅鸫,,Heteroxenicus stellatus,Gould's Shortwing,雀形目,鹟科,,
1265,日本歌鸲,,Larvivora akahige,Japanese Robin,雀形目,鹟科,,
1266,栗腹歌鸲,,Larvivora brunnea,Indian Blue Robin,雀形目,鹟科,,
1267,蓝歌鸲,,Larvivora cyane,Siberian Blue Robin,雀形目,鹟科,,
1268,琉球歌鸲,,Larvivora komadori,Ryukyu Robin,雀形目,鹟科,,
1269,棕头歌鸲,,Larvivora ruficeps,Rufous-headed Robin,雀形目,鹟科,,
1270,红尾歌鸲,,Larvivora sibilans,Rufous-tailed Robin,雀形目,鹟科,,
1271,新疆歌鸲,,Luscinia megarhynchos,Common Nightingale,雀形目,鹟科,,
1272,白腹短翅鸲,,Luscinia phaenicuroides,White-bellied Redstart,雀形目,鹟科,,
1273,蓝喉歌鸲,,Luscinia svecica,Bluethroat,雀形目,鹟科,,
1274,蓝头矶鸫,,Monticola cinclorhyncha,Blue-capped Rock Thrush,雀形目,鹟科,,
1275,白喉矶鸫,,Monticola gularis,White-throated Rock Thrush,雀形目,鹟科,,
1276,栗腹矶鸫,,Monticola rufiventris,Chestnut-bellied Rock Thrush,雀形目,鹟科,,
1277,白背矶鸫,,Monticola saxatilis,Common Rock Thrush,雀形目,鹟科,,
1278,蓝矶鸫,,Monticola solitarius,Blue Rock Thrush,雀形目,鹟科,,
1279,北灰鹟,,Muscicapa dauurica,Asian Brown Flycatcher,雀形目,鹟科,,
1280,棕尾褐鹟,,Muscicapa ferruginea,Ferruginous Flycatcher,雀形目,鹟科,,
1281,灰纹鹟,,Muscicapa griseisticta,Grey-streaked Flycatcher,雀形目,鹟科,,
1282,褐胸鹟,,Muscicapa muttui,Brown-breasted Flycatcher,雀形目,鹟科,,
1283,乌鹟,,Muscicapa sibirica,Dark-sided Flycatcher,雀形目,鹟科,,
1284,斑鹟,,Muscicapa striata,Spotted Flycatcher,雀形目,鹟科,,
1285,白尾蓝地鸲,,Myiomela leucura,White-tailed Blue Robin,雀形目,鹟科,,
1286,紫啸鸫,,Myophonus caeruleus,Blue Whistling Thrush,雀形目,鹟科,,
1287,台湾紫啸鸫,,Myophonus insularis,Taiwan Whistling Thrush,雀形目,鹟科,,
1288,棕腹大仙鹟,,Niltava davidi,Fujian Niltava,雀形目,鹟科,,
1289,大仙鹟,,Niltava grandis,Large Niltava,雀形目,鹟科,,
1290,小仙鹟,,Niltava macgrigoriae,Small Niltava,雀形目,鹟科,,
1291,棕腹蓝仙鹟,,Niltava oatesi,Vivid Niltava,雀形目,鹟科,,
1292,棕腹仙鹟,,Niltava sundara,Rufous-bellied Niltava,雀形目,鹟科,,
1293,台湾蓝仙鹟,,Niltava vivida ,Taiwan Vivid Niltava,雀形目,鹟科,,
1294,漠䳭,,Oenanthe deserti,Desert Wheatear,雀形目,鹟科,,
1295,沙䳭,,Oenanthe isabellina,Isabelline Wheatear,雀形目,鹟科,,
1296,穗䳭,,Oenanthe oenanthe,Northern Wheatear,雀形目,鹟科,,
1297,东方斑䳭,,Oenanthe picata,Variable Wheatear,雀形目,鹟科,,
1298,白顶䳭,,Oenanthe pleschanka,Pied Wheatear,雀形目,鹟科,,
1299,贺兰山红尾鸲,,Phoenicurus alaschanicus,Przevalski's Redstart,雀形目,鹟科,,
1300,北红尾鸲,,Phoenicurus auroreus,Daurian Redstart,雀形目,鹟科,,
1301,蓝头红尾鸲,,Phoenicurus coeruleocephala,Blue-capped Redstart,雀形目,鹟科,,
1302,红腹红尾鸲,,Phoenicurus erythrogastrus,White-winged Redstart,雀形目,鹟科,,
1303,红背红尾鸲,,Phoenicurus erythronotus,Eversmann's Redstart,雀形目,鹟科,,
1304,蓝额红尾鸲,,Phoenicurus frontalis,Blue-fronted Redstart,雀形目,鹟科,,
1305,红尾水鸲,,Phoenicurus fuliginosus,Plumbeous Water Redstart,雀形目,鹟科,,
1306,黑喉红尾鸲,,Phoenicurus hodgsoni,Hodgson's Redstart,雀形目,鹟科,,
1307,白顶溪鸲,,Phoenicurus leucocephalus,White-capped Water-redstart,雀形目,鹟科,,
1308,赭红尾鸲,,Phoenicurus ochruros,Black Redstart,雀形目,鹟科,,
1309,欧亚红尾鸲,,Phoenicurus phoenicurus,Common Redstart,雀形目,鹟科,,
1310,白喉红尾鸲,,Phoenicurus schisticeps,White-throated Redstart,雀形目,鹟科,,
1311,白斑黑石䳭,,Saxicola caprata,Pied Bushchat,雀形目,鹟科,,
1312,灰林䳭,,Saxicola ferreus,Grey  Bushchat,雀形目,鹟科,,
1313,白喉石䳭,,Saxicola insignis,White-throated Bushchat,雀形目,鹟科,,
1314,黑白林䳭,,Saxicola jerdoni,Jerdon's  Bushchat,雀形目,鹟科,,
1315,黑喉石䳭,,Saxicola maurus,Siberian Stonechat,雀形目,鹟科,,
1316,草原石䳭,,Saxicola rubetra,Whinchat,雀形目,鹟科,,
1317,东亚石䳭,,Saxicola stejnegeri,Stejneger's Stonechat,雀形目,鹟科,,
1318,祁连山蓝尾鸲,,Tarsiger albocoeruleus,Qilian Bluetail ,雀形目,鹟科,,
1319,金色林鸲,,Tarsiger chrysaeus,Golden Bush Robin,雀形目,鹟科,,
1320,红胁蓝尾鸲,,Tarsiger cyanurus,Orange-flanked Bush-robin,雀形目,鹟科,,
1321,台湾白眉林鸲,,Tarsiger formosanus,Taiwan Bush Robin,雀形目,鹟科,,
1322,棕腹林鸲,,Tarsiger hyperythrus,Rufous-breasted Bush Robin,雀形目,鹟科,,
1323,白眉林鸲,,Tarsiger indicus,White-browed Bush Robin,雀形目,鹟科,,
1324,台湾林鸲,,Tarsiger johnstoniae,Collared Bush Robin,雀形目,鹟科,,
1325,蓝眉林鸲,,Tarsiger rufilatus,Himalayan Bush-robin,雀形目,鹟科,,
1326,平原鹨,,Anthus campestris,Tawny Pipit,雀形目,鹡鸰科,,
1327,红喉鹨,,Anthus cervinus,Red-throated Pipit,雀形目,鹡鸰科,,
1328,布氏鹨,,Anthus godlewskii,Blyth's Pipit,雀形目,鹡鸰科,,
1329,北鹨,,Anthus gustavi,Pechora Pipit,雀形目,鹡鸰科,,
1330,树鹨,,Anthus hodgsoni,Olive-backed Pipit,雀形目,鹡鸰科,,
1331,草地鹨,,Anthus pratensis,Meadow Pipit,雀形目,鹡鸰科,,
1332,田鹨,理氏鹨,Anthus richardi,Richard's Pipit,雀形目,鹡鸰科,,
1333,粉红胸鹨,,Anthus roseatus,Rosy Pipit,雀形目,鹡鸰科,,
1334,黄腹鹨,,Anthus rubescens,Buff-bellied Pipit,雀形目,鹡鸰科,,
1335,东方田鹨,田鹨,Anthus rufulus,Paddyfield Pipit,雀形目,鹡鸰科,,
1336,水鹨,,Anthus spinoletta,Water Pipit,雀形目,鹡鸰科,,
1337,山鹨,,Anthus sylvanus,Upland Pipit,雀形目,鹡鸰科,,
1338,林鹨,,Anthus trivialis,Tree Pipit,雀形目,鹡鸰科,,
1339,山鹡鸰,,Dendronanthus indicus,Forest Wagtail,雀形目,鹡鸰科,,
1340,白鹡鸰,,Motacilla alba,White Wagtail,雀形目,鹡鸰科,,
1341,灰鹡鸰,,Motacilla cinerea,Grey Wagtail,雀形目,鹡鸰科,,
1342,黄头鹡鸰,,Motacilla citreola,Citrine Wagtail,雀形目,鹡鸰科,,
1343,西黄鹡鸰,,Motacilla flava,Western Yellow Wagtail,雀形目,鹡鸰科,,
1344,日本鹡鸰,,Motacilla grandis,Japanese Wagtail,雀形目,鹡鸰科,,
1345,黄鹡鸰,,Motacilla tschutschensis,Eastern Yellow Wagtail,雀形目,鹡鸰科,,
1346,鹪鹩,,Troglodytes troglodytes,Eurasian Wren,雀形目,鹪鹩科,,
1347,黑枕黄鹂,,Oriolus chinensis,Black-naped Oriole,雀形目,黄鹂科,,
1348,印度金黄鹂,,Oriolus kundoo,Indian Golden Oriole,雀形目,黄鹂科,,
1349,鹊鹂,,Oriolus mellianus,Silver Oriole,雀形目,黄鹂科,,
1350,金黄鹂,,Oriolus oriolus,Eurasian Golden Oriole,雀形目,黄鹂科,,
1351,细嘴黄鹂,,Oriolus tenuirostris,Slender-billed Oriole,雀形目,黄鹂科,,
1352,朱鹂,,Oriolus traillii,Maroon Oriole,雀形目,黄鹂科,,
1353,黑头黄鹂,,Oriolus xanthornus,Black-hooded Oriole,雀形目,黄鹂科,,
1354,鸳鸯,,Aix galericulata,Mandarin Duck,雁形目,鸭科,,
1355,针尾鸭,,Anas acuta,Northern Pintail,雁形目,鸭科,,
1356,绿翅鸭,绿翅鸭/美洲绿翅鸭,Anas crecca,Eurasian Teal,雁形目,鸭科,,
1357,棕颈鸭,,Anas luzonica,Philippine Duck,雁形目,鸭科,,
1358,绿头鸭,,Anas platyrhynchos,Mallard,雁形目,鸭科,,
1359,南亚斑嘴鸭,,Anas poecilorhyncha,Indian Spot-billed Duck,雁形目,鸭科,,
1360,斑嘴鸭,,Anas zonorhyncha,Chinese Spot-billed Duck,雁形目,鸭科,,
1361,白额雁,,Anser albifrons,White-fronted Goose,雁形目,鸭科,,
1362,灰雁,,Anser anser,Graylag Goose,雁形目,鸭科,,
1363,雪雁,,Anser caerulescens,Snow Goose,雁形目,鸭科,,
1364,鸿雁,,Anser cygnoides,Swan Goose,雁形目,鸭科,,
1365,小白额雁,,Anser erythropus,Lesser White-fronted Goose,雁形目,鸭科,,
1366,豆雁,,Anser fabalis,Bean Goose,雁形目,鸭科,,
1367,斑头雁,,Anser indicus,Bar-headed Goose,雁形目,鸭科,,
1368,短嘴豆雁,,Anser serrirostris,Tundra Bean Goose,雁形目,鸭科,,
1369,白翅栖鸭,,Asarcornis scutulata,White-winged Duck,雁形目,鸭科,,
1370,小潜鸭,,Aythya affinis,Lesser Scaup,雁形目,鸭科,,
1371,青头潜鸭,,Aythya baeri,Baer’s Pochard,雁形目,鸭科,,
1372,环颈潜鸭,,Aythya collaris,Ring-necked Duck,雁形目,鸭科,,
1373,红头潜鸭,,Aythya ferina,Common Pochard,雁形目,鸭科,,
1374,凤头潜鸭,,Aythya fuligula,Tufted Duck,雁形目,鸭科,,
1375,斑背潜鸭,,Aythya marila,Greater Scaup,雁形目,鸭科,,
1376,白眼潜鸭,,Aythya nyroca,Ferruginous Duck,雁形目,鸭科,,
1377,帆背潜鸭,,Aythya valisineria,Canvasback,雁形目,鸭科,,
1378,黑雁,,Branta bernicla,Brant Goose,雁形目,鸭科,,
1379,加拿大黑雁,,Branta canadensis,Canada Goose,雁形目,鸭科,,
1380,小美洲黑雁,,Branta hutchinsii,Cackling Goose,雁形目,鸭科,,
1381,白颊黑雁,,Branta leucopsis,Barnacle Goose,雁形目,鸭科,,
1382,红胸黑雁,,Branta ruficollis,Red-breasted Goose,雁形目,鸭科,,
1383,鹊鸭,,Bucephala clangula,Common Goldeneye,雁形目,鸭科,,
1384,长尾鸭,,Clangula hyemalis,Long-tailed Duck,雁形目,鸭科,,
1385,小天鹅,,Cygnus columbianus,Tundra Swan,雁形目,鸭科,,
1386,大天鹅,,Cygnus cygnus,Whooper Swan,雁形目,鸭科,,
1387,疣鼻天鹅,,Cygnus olor,Mute Swan,雁形目,鸭科,,
1388,栗树鸭,,Dendrocygna javanica,Lesser Whistling Duck ,雁形目,鸭科,,
1389,丑鸭,,Histrionicus histrionicus,Harlequin Duck,雁形目,鸭科,,
1390,绿眉鸭,,Mareca americana,American Wigeon,雁形目,鸭科,,
1391,罗纹鸭,,Mareca falcata,Falcated Duck,雁形目,鸭科,,
1392,赤颈鸭,,Mareca penelope,Eurasian Wigeon,雁形目,鸭科,,
1393,赤膀鸭,,Mareca strepera,Gadwall,雁形目,鸭科,,
1394,云石斑鸭,,Marmaronetta angustirostris  ,Marbled  Teal,雁形目,鸭科,,
1395,黑海番鸭,,Melanitta americana,Black Scoter,雁形目,鸭科,,
1396,丝绒海番鸭,,Melanitta fusca,Velvet Scoter ,雁形目,鸭科,,
1397,斑脸海番鸭,,Melanitta stejnegeri,Siberian Scoter,雁形目,鸭科,,
1398,斑头秋沙鸭,,Mergellus albellus,Smew,雁形目,鸭科,,
